Radio_type,MCC,MNC,Location_Code,CID,Latitude,Longitude,Range,Samples,Change=1,Change=0,Created,Updated,av_signal
GSM,645,1,65442,5009,0,28.89198303,-11.20674133,1000,2,1,1458794919,1458802571,0
GSM,645,3,10008,62832,0,28.372373,-15.395027,2914,44,1,1458806411,1563091917,0
GSM,645,2,20004,361,0,28.17263,-15.79253,36920,40,1,1459526787,1572906104,0
GSM,645,2,20003,3392,0,27.929924,-16.001499,10037,3,1,1459526539,1514348339,0
GSM,645,2,520,6059,0,31.30685,-12.055817,5250,2,1,1459537418,1517533290,0
GSM,645,1,65525,1003,0,28.051529,-12.657623,1000,2,1,1459769859,1462758223,0
GSM,645,1,628,7704,0,23.499007,-15.172825,15110,22,1,1460228242,1675398421,0
GSM,645,2,20003,553,0,26.195526,-17.329638,8030,10,1,1460309220,1674959415,0
GSM,645,3,465,6972,0,31.6028595,-14.2993927,1000,1,1,1460354711,1460354711,0
GSM,645,3,10133,21192,0,28.260084,-12.798171,2885,18,1,1460628650,1572971718,0
GSM,645,2,10123,30261,0,28.22835,-12.784785,3001,20,1,1460640538,1608964984,0
GSM,645,3,10133,11173,0,28.223915,-12.780589,3819,10,1,1460640538,1576890410,0
GSM,645,1,10061,33753,0,28.264047,-14.573022,4502,4,1,1461151421,1487819693,0
GSM,645,2,10111,30996,0,28.144139,-12.726068,11828,27,1,1461161032,1518659757,0
GSM,645,3,10008,31682,0,28.391141,-15.409362,21923,54,1,1461577993,1563091917,0
GSM,645,1,105,845,0,28.701384,-15.381257,5518,19,1,1461585210,1461726209,0
GSM,645,1,122,38441,0,28.752921,-16.503088,3877,5,1,1461650125,1553307496,0
GSM,645,1,122,38192,0,28.75465393,-16.51863098,1000,1,1,1461630098,1461630098,0
GSM,645,1,22114,22291,0,28.74778748,-16.50352478,1000,2,1,1461680027,1461680027,0
GSM,645,1,201,63112,0,25.863876,-17.928314,1000,2,1,1462060375,1462060375,0
GSM,645,2,11103,9996,0,28.310394,-15.412445,1830,8,1,1464447558,1470106408,0
GSM,645,1,197,65243,0,32.272985,-9.189553,29355,64,1,1464630817,1504074134,0
GSM,645,1,65280,2041,0,27.796783,-12.264862,1000,2,1,1464940208,1464940208,0
GSM,645,2,20004,113,0,28.403314,-15.897942,25403,61,1,1465409734,1574938542,0
GSM,645,1,3109,42102,0,28.224376,-15.468563,1000,22,1,1465631167,1466242265,0
GSM,645,1,3109,30513,0,28.270439,-15.463869,1000,37,1,1465632365,1467143451,0
GSM,645,1,3109,42692,0,28.268674,-15.45455,1053,25,1,1465632365,1467117992,0
GSM,645,1,1008,46114,0,28.30833435,-15.40077209,1000,1,1,1466585123,1466585123,0
GSM,645,2,235,1662,0,28.222503,-13.522798,2363,2,1,1466839736,1480249442,0
GSM,645,2,10115,30632,0,31.2474,-9.977382,5063,3,1,1467015441,1527308650,0
GSM,645,2,10115,35263,0,30.708256,-12.921109,27969,13,1,1467037216,1675504664,0
GSM,645,3,10071,43323,0,23.136911,-15.266753,1020,20,1,1467572782,1562223549,0
GSM,645,1,10041,41641,0,27.78236389,-15.8278656,1000,1,1,1467839607,1467839607,0
GSM,645,1,10041,42271,0,27.78236389,-15.8278656,1000,1,1,1467839607,1467839607,0
GSM,645,1,10041,43893,0,27.78236389,-15.8278656,1000,1,1,1467839607,1467839607,0
GSM,645,1,10041,43642,0,28.27416,-15.863179,16380,9,1,1467913507,1513668850,0
GSM,645,2,750,3513,0,30.298237,-13.229144,7209,3,1,1468175772,1478059435,0
GSM,645,2,10115,35032,0,31.410528,-11.916662,16883,6,1,1468178962,1537235172,0
GSM,645,2,11103,4462,0,28.413703,-15.350761,4362,36,1,1468665042,1561707605,0
GSM,645,1,22114,21383,0,28.859619,-16.039653,12645,138,1,1469031142,1557863778,0
GSM,645,1,22114,21381,0,28.85902405,-16.04484558,1000,1,1,1469010958,1469010958,0
GSM,645,1,925,29912,0,29.4934845,-11.35368347,1000,2,1,1469392573,1469397096,0
GSM,645,3,520,29152,0,31.81434631,-11.30699158,1000,1,1,1470656795,1470656795,0
GSM,645,1,300,22052,0,27.98973083,-16.0269928,1000,1,1,1471404354,1471404354,0
GSM,645,1,120,3943,0,28.305496,-15.467789,1618,15,1,1471626795,1489968511,0
GSM,645,3,750,3643,0,30.554351,-13.076478,2877,2,1,1472264186,1482198726,0
GSM,645,1,250,10573,0,28.137382,-12.698885,32757,96,1,1472478245,1558429271,0
GSM,645,2,10115,32265,0,31.183548,-10.20607,1000,3,1,1472496295,1472552083,0
GSM,645,2,10115,35102,0,30.533412,-12.964039,19331,6,1,1472621169,1565423529,0
GSM,645,1,925,29901,0,29.925064,-10.241867,3119,15,1,1472753508,1489234608,0
GSM,645,1,22210,19351,0,25.949784,-17.612799,32662,19,1,1472821804,1481615513,0
GSM,645,1,130,1584,0,28.278205,-15.362653,2468,33,1,1473188240,1488625364,0
GSM,645,2,11106,1972,0,28.51707458,-14.9571991,1000,1,1,1473239157,1473239157,0
GSM,645,1,11103,2451,0,28.36326599,-15.15632629,1000,1,1,1473839732,1473839732,0
GSM,645,2,10115,30963,0,31.827079,-11.244711,22185,6,1,1474992524,1675655606,0
GSM,645,1,11102,4241,0,28.273315,-15.196838,1000,2,1,1479429267,1479429267,0
GSM,645,2,11103,1006,0,28.315046,-15.386208,2745,1184,1,1480608401,1611742069,0
GSM,645,2,11103,1465,0,28.386077,-15.403886,2322,30,1,1483898281,1577110579,0
GSM,645,2,11106,35221,0,26.705784,-14.971984,6536,16,1,1484112380,1580792482,0
